D2,12/09/04,Ein Trier,SpVgg Greuther Fürth,0,0,D,0,0,D,2.375,3.1,2.625,2.3,3.2,2.75,2.4,3.2,2.7,2.4,2.9,2.7,,,,2.5,3.1,2.7,2.4,3.1,2.6,1.65,2.05,1.75,2,0,,
D2,12/09/04,Erzgebirge Aue,Ahlen,0,0,D,0,0,D,1.727,3.2,4.333,1.8,3.4,3.8,1.8,3.4,4,1.8,3.1,3.8,,,,1.72,3.5,4,1.75,3.25,4.1,1.65,2.05,1.8,1.84,-0.5,,
D2,12/09/04,Karlsruhe,FC Cologne,0,1,A,0,0,D,2.625,3.1,2.375,3,3.2,2.15,2.8,3.25,2.3,2.8,2.9,2.3,,,,2.9,3.2,2.3,2.65,3.1,2.35,1.6,2.15,1.75,2,0.25,,
D2,12/09/04,Unterhaching,Aachen,0,2,A,0,0,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.25,2.8,2.4,2.9,2.7,,,,2.4,3.1,2.8,2.4,3.1,2.6,1.65,2.05,2,1.75,-0.25,,
D2,13/09/04,Erfurt,TSV Munich 1860,0,0,D,0,0,D,2.5,3.25,2.4,2.7,3.15,2.35,2.7,3.2,2.4,2.8,2.9,2.3,2.6,3.2,2.375,2.8,3,2.5,2.85,3.05,2.25,1.65,2.05,2,1.75,0,,
D2,17/09/04,Ahlen,Ein Trier,2,2,D,1,0,H,2.2,3,3,2.1,3.2,3.1,2.1,3.2,3.2,2,3,3.3,2,3.2,3.2,2.1,3.2,3.25,2.15,3.1,3,1.83,1.83,1.77,1.95,-0.25,,
D2,17/09/04,Dresden,Karlsruhe,1,2,A,0,1,A,1.9,3.25,3.5,1.8,3.3,4,1.85,3.3,3.9,2,3,3.3,1.83,3.2,3.75,1.85,3.4,3.8,1.95,3.1,3.5,1.71,2,1.85,1.79,-0.5,,
D2,17/09/04,TSV Munich 1860,Duisburg,1,0,H,0,0,D,1.83,3.25,3.75,1.9,3.25,3.6,1.9,3.25,3.75,1.85,3.1,3.6,1.83,3.2,3.75,1.95,3.3,3.6,1.85,3.2,3.7,1.71,2,1.9,1.74,-0.5,,
D2,19/09/04,Aachen,FC Cologne,2,3,A,1,0,H,2.37,3,2.75,2.4,3.1,2.7,2.4,3.1,2.75,2.3,2.9,2.8,,,,2.5,3,2.8,2.4,3,2.65,1.75,1.95,1.77,1.95,0,,
D2,19/09/04,Essen,Energie Cottbus,4,2,H,1,0,H,2.62,3.2,2.37,2.8,3.2,2.25,2.9,3.2,2.25,2.5,3,2.5,,,,3.1,3.2,2.2,2.75,3.1,2.3,1.75,1.95,1.95,1.77,0,,
D2,19/09/04,SpVgg Greuther Fürth,Erfurt,2,0,H,2,0,H,1.66,3.4,4.33,1.65,3.4,4.7,1.7,3.4,4.5,1.7,3.1,4.4,,,,1.67,3.6,4.5,1.6,3.4,4.8,1.79,1.9,1.8,1.9,-0.75,,
D2,19/09/04,Oberhausen,Burghausen,1,2,A,1,0,H,2,3.2,3.2,1.9,3.25,3.6,1.9,3.2,3.8,2,3,3.3,,,,1.95,3.3,3.6,1.95,3.15,3.4,1.71,2,1.9,1.74,-0.5,,
D2,19/09/04,Saarbrucken,Eintracht Frankfurt,3,0,H,1,0,H,2.75,3.2,2.25,2.9,3.2,2.2,2.9,3.2,2.25,2.7,3,2.3,,,,3,3.2,2.25,2.8,3.1,2.25,1.71,2,1.77,1.95,0.25,,
D2,19/09/04,Unterhaching,Erzgebirge Aue,4,1,H,2,0,H,2.25,3.2,2.75,2.1,3.2,3.1,2.15,3.2,3.1,2.1,3,3.1,,,,2.2,3.2,3.1,2.1,3.1,3.1,1.65,2.05,1.8,1.9,-0.25,,
D2,24/09/04,Burghausen,Essen,3,2,H,2,1,H,1.83,3.25,3.6,1.75,3.4,4.1,1.8,3.35,4.1,1.8,3.1,3.8,1.8,3.2,4,1.75,3.5,4.2,1.8,3.1,4,1.65,2.05,1.8,1.84,-0.5,,
D2,24/09/04,Erfurt,Ahlen,1,1,D,0,0,D,1.9,3.2,3.5,1.9,3.25,3.6,2,3.2,3.5,2,2.9,3.4,1.91,3.2,3.5,2,3.3,3.4,2.1,3,3.2,1.85,1.85,2,1.67,-0.5,,
D2,24/09/04,Karlsruhe,Saarbrucken,1,1,D,0,1,A,2,3.2,3.2,1.9,3.25,3.6,2,3.2,3.5,2,2.9,3.4,1.91,3.2,3.5,1.9,3.3,3.75,2,3.1,3.3,1.71,2,2,1.67,-0.5,,
D2,26/09/04,Duisburg,SpVgg Greuther Fürth,1,0,H,1,0,H,2.1,3.2,3,1.95,3.25,3.4,2.05,3.2,3.35,2.1,2.9,3.2,,,,2,3.3,3.4,2.1,3.1,3.1,1.71,2,1.75,2,-0.25,,
D2,26/09/04,Eintracht Frankfurt,Oberhausen,6,2,H,1,1,D,1.57,3.5,5,1.55,3.7,5.1,1.55,3.7,5.5,1.6,3.4,4.6,,,,1.5,4,5.5,1.55,3.55,5.5,1.65,2.05,1.75,2,-0.75,,
D2,26/09/04,Ein Trier,Unterhaching,2,0,H,2,0,H,2.2,3.2,2.8,2,3.25,3.3,2.1,3.2,3.2,2.2,2.9,3,,,,2.2,3.2,3.1,2.15,3.05,3,1.65,2.05,1.7,2,-0.25,,
D2,26/09/04,Erzgebirge Aue,Aachen,1,1,D,0,0,D,2.25,3.2,2.75,2.3,3.25,2.7,2.4,3.2,2.7,2.4,2.9,2.7,,,,2.3,3.2,2.9,2.5,3,2.55,1.65,2.05,2.05,1.7,-0.25,,
D2,26/09/04,FC Cologne,Dresden,3,2,H,0,2,A,1.57,3.5,5,1.5,3.8,5.5,1.5,3.8,5.9,1.5,3.7,5,,,,1.5,4,5.5,1.45,3.6,6.5,1.65,2.05,1.87,1.85,-1,,
D2,27/09/04,Energie Cottbus,TSV Munich 1860,1,1,D,0,1,A,2.2,3.2,2.8,2.2,3.1,3,2.2,3.2,3,2.2,3,2.9,2.25,3,2.88,2.25,3,3.2,,,,1.79,1.9,1.86,1.86,-0.25,,
D2,01/10/04,Ahlen,Duisburg,2,0,H,1,0,H,2.6,3.1,2.4,2.6,3.2,2.4,2.7,3.3,2.35,2.5,3,2.5,2.6,3.2,2.38,2.9,3.2,2.3,2.55,3,2.5,1.85,1.85,1.95,1.8,0,,
D2,01/10/04,Essen,Eintracht Frankfurt,4,4,D,2,2,D,2.5,3.2,2.4,2.8,3.2,2.25,2.75,3.2,2.35,2.9,3,2.2,2.75,3,2.38,2.9,3.2,2.3,2.75,3,2.35,1.65,2.05,1.95,1.8,0,,
D2,01/10/04,Unterhaching,Erfurt,4,0,H,2,0,H,2,3.2,3.2,1.85,3.3,3.7,1.85,3.25,3.95,1.85,3.1,3.6,1.83,3.2,3.75,1.9,3.3,3.75,1.9,3.1,3.6,1.79,1.9,1.85,1.75,-0.5,,
D2,03/10/04,Erzgebirge Aue,Ein Trier,1,2,A,0,0,D,1.9,3.2,3.5,1.9,3.25,3.6,1.9,3.3,3.7,1.9,3.1,3.5,,,,1.85,3.4,3.8,2,3,3.4,1.79,1.9,1.9,1.74,-0.5,,
D2,03/10/04,SpVgg Greuther Fürth,Energie Cottbus,2,0,H,1,0,H,2,3.2,3.2,1.95,3.25,3.4,1.95,3.3,3.5,2,3.1,3.2,,,,2.05,3.25,3.3,1.95,3.1,3.5,1.85,1.85,1.95,1.7,-0.5,,
D2,03/10/04,TSV Munich 1860,Burghausen,2,4,A,1,1,D,1.83,3.25,3.6,1.7,3.4,4.4,1.75,3.3,4.45,1.75,3.2,4,,,,1.73,3.5,4.33,1.7,3.2,4.5,1.79,1.9,2,1.75,-0.25,,
D2,03/10/04,Oberhausen,Karlsruhe,1,0,H,1,0,H,2.1,3.2,3,2,3.25,3.3,2.1,3.25,3.15,2.1,3,3.1,,,,2.1,3.25,3.2,2.2,3,3,1.79,1.9,1.85,1.9,-0.25,,
D2,03/10/04,Saarbrucken,FC Cologne,2,0,H,1,0,H,2.8,3.2,2.2,3.2,3.2,2.05,3,3.2,2.2,2.9,3,2.2,,,,3.2,3.2,2.15,2.8,3.1,2.25,1.75,1.95,1.85,1.9,0.25,,
D2,04/10/04,Aachen,Dresden,5,1,H,2,0,H,1.57,3.5,5,1.45,3.9,6,1.55,3.65,5.5,1.6,3.4,4.6,1.5,3.4,6,1.5,4,5.5,1.6,3.35,5,1.71,2,1.95,1.8,-1,,
D2,15/10/04,Duisburg,Unterhaching,3,1,H,1,0,H,1.72,3.4,4,1.75,3.4,4.05,1.8,3.4,4,1.85,3.1,3.6,1.73,3.2,4.33,1.75,3.5,4.2,1.8,3.1,4,1.71,2,1.8,1.84,-0.5,,
D2,15/10/04,Erfurt,Erzgebirge Aue,0,3,A,0,2,A,2.1,3.1,3.1,2.05,3.1,3.3,2.2,3.1,3.1,2.3,2.9,2.8,2.1,3.2,3,2.2,3.2,3.1,2.2,3,3,1.85,1.85,2.2,1.55,-0.5,,
D2,15/10/04,Karlsruhe,Essen,4,1,H,2,1,H,1.9,3.2,3.5,1.9,3.25,3.6,1.95,3.2,3.65,1.9,3.1,3.5,2,3.2,3.2,1.85,3.4,3.8,1.85,3.1,3.8,1.71,2,1.95,1.71,-0.5,,
D2,17/10/04,Burghausen,SpVgg Greuther Fürth,0,1,A,0,1,A,2.2,3.1,2.9,2.25,3.2,2.8,2.25,3.1,3,2.3,2.9,2.8,,,,2.38,3.1,2.88,2.35,3,2.75,1.65,2.05,2.25,1.52,-0.5,,
D2,17/10/04,Energie Cottbus,Ahlen,0,0,D,0,0,D,1.66,3.4,4.33,1.7,3.4,4.3,1.65,3.45,4.9,1.65,3.2,4.6,,,,1.67,3.6,4.5,1.65,3.35,4.5,1.75,1.95,1.65,2.02,-0.5,,
D2,17/10/04,Dresden,Saarbrucken,2,1,H,2,1,H,2.2,3.2,2.8,2.1,3.2,3.1,2.2,3.2,3,2.2,3,2.9,,,,2.25,3.2,3,2.3,3.1,2.75,1.65,2.05,2.2,1.55,-0.5,,
D2,17/10/04,Ein Trier,Aachen,0,4,A,0,2,A,2.4,3,2.7,2.3,3.1,2.8,2.35,3.1,2.85,2.4,2.9,2.7,,,,2.4,3.1,2.8,2.45,2.9,2.7,1.75,1.95,2.35,1.48,-0.5,,
D2,17/10/04,FC Cologne,Oberhausen,3,2,H,1,2,A,1.44,3.6,6.5,1.45,3.9,6,1.45,3.9,6.5,1.45,3.8,5.4,,,,1.44,4,6.5,1.45,3.55,6.5,1.65,2.05,2,1.5,-1.5,,
D2,18/10/04,Eintracht Frankfurt,TSV Munich 1860,1,2,A,0,2,A,1.9,3.2,3.5,1.8,3.4,3.8,1.85,3.3,3.9,1.9,3.1,3.5,1.8,3.2,4,1.85,3.1,4.33,1.85,3.1,3.8,1.65,2.05,1.85,1.79,-0.5,,
D2,22/10/04,Essen,FC Cologne,2,2,D,1,0,H,3.2,3.2,2,3.3,3.25,2,3.25,3.25,2.05,3.1,3,2.1,3.2,3.2,2,3.6,3.3,1.95,3.25,3.05,2.05,1.55,2.25,1.63,2.05,0.5,,
D2,22/10/04,SpVgg Greuther Fürth,Eintracht Frankfurt,2,1,H,1,1,D,2,3.2,3.2,2.1,3.2,3.1,1.9,3.35,3.65,2.1,3,3.1,2,3,3.4,1.95,3.3,3.6,2,3.15,3.25,1.75,1.95,1.9,1.75,-0.5,,
D2,22/10/04,TSV Munich 1860,Karlsruhe,1,1,D,0,1,A,1.61,3.5,4.5,1.65,3.6,4.4,1.65,3.6,4.6,1.65,3.3,4.4,1.67,3.25,4.5,1.62,3.75,5,1.65,3.3,4.6,1.6,2.15,1.65,2.02,-0.5,,
D2,22/10/04,Unterhaching,Energie Cottbus,2,1,H,0,1,A,2,3.2,3.2,2.1,3.2,3.1,2,3.2,3.5,1.9,3.1,3.5,2,3.2,3.2,2,3.3,3.4,2.05,3.1,3.2,1.71,2,1.95,1.69,-0.5,,
D2,24/10/04,Aachen,Saarbrucken,3,1,H,2,0,H,1.61,3.5,4.5,1.65,3.6,4.4,1.65,3.65,4.55,1.6,3.4,4.6,,,,1.62,3.75,5,1.65,3.3,4.6,1.65,2.05,1.65,2.03,-0.5,,
D2,24/10/04,Ein Trier,Erfurt,2,0,H,0,0,D,1.8,3.4,3.6,1.75,3.4,4.1,1.8,3.35,4.05,1.8,3.1,3.8,,,,1.75,3.5,4.2,1.8,3.2,3.9,1.85,1.85,1.8,1.83,-0.5,,
D2,24/10/04,Erzgebirge Aue,Duisburg,1,3,A,0,0,D,2.25,3.25,2.75,2.35,3.25,2.65,2.25,3.25,2.85,2.2,3,2.9,,,,2.3,3.2,2.9,2.35,3.1,2.65,1.75,1.95,2.25,1.52,-0.5,,
D2,24/10/04,Oberhausen,Dresden,2,0,H,1,0,H,1.9,3.25,3.5,1.85,3.3,3.7,1.9,3.3,3.7,1.9,3.1,3.5,,,,1.8,3.4,4,1.95,3.15,3.4,1.65,2.05,1.9,1.74,-0.5,,
D2,26/10/04,Burghausen,Unterhaching,2,0,H,1,0,H,2,3.2,3.2,1.95,3.25,3.4,2.05,3.1,3.45,2.1,3,3.1,,,,2,3.3,3.4,2.05,3.1,3.2,1.65,2.05,2.05,1.63,-0.5,,
D2,26/10/04,Eintracht Frankfurt,Ahlen,2,3,A,2,2,D,1.72,3.4,4,1.6,3.6,4.8,1.7,3.45,4.5,1.65,3.3,4.4,,,,1.67,3.6,4.5,1.65,3.25,4.8,1.65,2.05,1.7,1.95,-0.5,,
D2,26/10/04,FC Cologne,TSV Munich 1860,2,0,H,2,0,H,1.8,3.2,4,1.65,3.5,4.5,1.85,3.3,3.9,1.85,3.1,3.6,,,,1.8,3.4,4,1.8,3.2,3.9,1.65,2.05,1.85,1.79,-0.5,,
D2,26/10/04,Karlsruhe,SpVgg Greuther Fürth,2,2,D,0,1,A,2.5,3.1,2.5,2.9,3.2,2.2,2.75,3.2,2.35,2.7,2.9,2.4,,,,2.9,3.2,2.3,2.65,3.1,2.35,1.79,1.9,1.48,2.35,0.5,,
D2,27/10/04,Dresden,Essen,1,0,H,1,0,H,1.8,3.2,4,1.9,3.25,3.6,1.85,3.25,4,1.9,3,3.6,,,,1.8,3.4,4,1.85,3.2,3.7,1.65,2.05,1.85,1.79,-0.5,,
D2,27/10/04,Duisburg,Ein Trier,4,3,H,3,3,D,1.66,3.3,4.5,1.6,3.6,4.8,1.65,3.4,5,1.65,3.3,4.4,,,,1.67,3.6,4.5,1.7,3.2,4.5,1.75,1.95,1.65,2.02,-0.5,,
D2,27/10/04,Erfurt,Aachen,1,0,H,0,0,D,3,3.2,2.1,3.1,3.2,2.1,3.2,3.2,2.1,3.1,3,2.1,,,,3.25,3.2,2.1,3.2,3,2.1,1.75,1.95,1.6,2.1,0.5,,
D2,27/10/04,Saarbrucken,Oberhausen,3,0,H,2,0,H,1.8,3.2,4,1.85,3.3,3.7,1.9,3.25,3.75,2,3.1,3.2,,,,1.9,3.3,3.75,1.95,3.15,3.4,1.71,2,1.9,1.74,-0.5,,
D2,28/10/04,Energie Cottbus,Erzgebirge Aue,1,0,H,0,0,D,1.83,3.2,3.75,1.85,3.3,3.7,1.85,3.25,4,1.8,3.1,3.8,,,,1.8,3.4,4,1.85,3.3,3.55,1.79,1.9,1.85,1.79,-0.5,,
D2,29/10/04,Ahlen,Karlsruhe,2,2,D,1,2,A,1.9,3.25,3.4,1.9,3.25,3.6,1.9,3.3,3.7,1.9,3.1,3.5,,,,1.9,3.3,3.75,1.95,3.15,3.4,1.75,1.95,1.9,1.74,-0.5,,
D2,29/10/04,SpVgg Greuther Fürth,FC Cologne,0,1,A,0,0,D,2.2,3.25,2.75,2.3,3.1,2.8,2.2,3.25,2.95,2.2,3,2.9,,,,2.2,3.2,3.1,2.25,3.1,2.8,1.75,1.95,2.2,1.55,-0.5,,
D2,29/10/04,Unterhaching,Eintracht Frankfurt,2,0,H,1,0,H,2.2,3.25,2.75,2.25,3.2,2.8,2.15,3.25,3.05,2.1,3,3.1,,,,2.1,3.2,3.25,2.15,3.2,2.9,1.6,2.15,2.15,1.57,-0.5,,
D2,31/10/04,Aachen,Oberhausen,2,1,H,2,0,H,1.53,3.4,5.5,1.55,3.7,5.1,1.55,3.85,5.1,1.5,3.7,5,,,,1.5,4,5.5,1.55,3.55,5,1.6,2.15,1.55,2.19,-0.5,,
D2,31/10/04,Ein Trier,Energie Cottbus,2,1,H,1,1,D,2,3.2,3.2,2.15,3.2,3,2.1,3.2,3.2,2.1,3,3.1,,,,2.15,3.2,3.2,2.05,3.2,3.1,1.85,1.85,2.1,1.6,-0.5,,
D2,31/10/04,Erfurt,Duisburg,0,0,D,0,0,D,2.75,3.2,2.25,3.1,3.2,2.1,2.8,3.25,2.3,2.8,2.9,2.3,,,,3.2,3.25,2.1,2.8,3.1,2.25,1.85,1.85,1.5,2.3,0.5,,
D2,31/10/04,Erzgebirge Aue,Burghausen,2,0,H,0,0,D,2.2,3.25,2.75,2.2,3.2,2.9,2.2,3.2,3,2.2,3,2.9,,,,2.2,3.2,3.1,2.15,3.15,2.95,1.65,2.05,2.2,1.55,-0.5
D2,31/10/04,Essen,Saarbrucken,2,0,H,1,0,H,2.2,3.25,2.75,2.15,3.2,3,2.1,3.3,3.1,2.1,3,3.1,,,,2.2,3.2,3.1,2.1,3.1,3.1,1.65,2.05,2.1,1.6,-0.5
D2,01/11/04,TSV Munich 1860,Dresden,2,0,H,0,0,D,1.53,3.25,6,1.5,3.8,5.5,1.55,3.75,5.25,1.6,3.4,4.6,,,,1.53,4,5.5,1.5,3.6,5.5,1.65,2.05,1.55,2.19,-0.5
D2,05/11/04,Burghausen,Ein Trier,0,0,D,0,0,D,1.9,3.25,3.4,1.9,3.25,3.6,1.9,3.2,3.85,2,3.1,3.2,1.91,3.2,3.5,2,3.3,3.4,1.95,3.15,3.4,1.71,2,1.9,1.75,-0.5
D2,05/11/04,Eintracht Frankfurt,Erzgebirge Aue,2,0,H,1,0,H,1.66,3.3,4.5,1.65,3.5,4.5,1.69,3.5,4.5,1.7,3.2,4.2,1.67,3.25,4.5,1.7,3.5,4.5,1.7,3.3,4.3,1.55,2.25,1.69,1.97,-0.5
D2,05/11/04,Karlsruhe,Unterhaching,1,0,H,1,0,H,2.2,3.2,2.8,2.1,3.2,3.1,2.1,3.2,3.2,2.2,2.9,3,2.2,3.2,2.8,2.15,3.2,3.2,2.1,3.2,3,1.71,2,2.1,1.6,-0.5
D2,07/11/04,Energie Cottbus,Erfurt,3,0,H,1,0,H,1.72,3.2,4.33,1.6,3.6,4.8,1.65,3.5,4.75,1.75,3.1,4.1,,,,1.6,3.75,5,1.65,3.3,4.6,1.85,1.85,1.65,2.02,-0.5
D2,07/11/04,Dresden,SpVgg Greuther Fürth,2,2,D,0,1,A,2.7,3.1,2.3,2.9,3.2,2.2,2.85,3.2,2.3,2.5,3,2.5,,,,3.1,3.2,2.2,2.6,3.15,2.35,1.79,1.9,1.51,2.3,0.5
D2,07/11/04,FC Cologne,Ahlen,3,0,H,2,0,H,1.57,3.5,5,1.5,3.8,5.5,1.5,4,5.5,1.55,3.5,4.8,,,,1.5,4,5.5,1.5,3.4,6,1.71,2,2.11,1.44,-1.5
