Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,,,
F1,10/08/02,Nantes,Bastia,1,0,H,0,0,D,1.615,3.25,5,1.6,3.4,5.27,1.7,3.1,4.4,1.667,3.25,4.5,1.667,3.2,5,1.61,3.3,5,1.8,1.8,,,
F1,10/08/02,Nice,Strasbourg,4,0,H,2,0,H,2.1,3,3.2,2.2,3,3.35,2.2,2.8,3.1,2.1,3,3.2,2.1,3,3.3,1.9,3,3.75,1.95,1.65,,,
F1,10/08/02,Stade Rennes,Troyes,0,0,D,0,0,D,2,3,3.4,1.94,3.15,3.75,1.9,3,3.6,2,3.2,3.2,2,3,3.5,1.83,3,4,1.89,1.75,,,
F1,16/08/02,Marseille,Lyon,1,1,D,1,1,D,2.4,3,2.7,2.6,3.1,2.63,2.6,2.7,2.7,2.5,3.2,2.5,2.5,3.1,2.6,2.5,2.9,2.62,1.9,1.77,,,
F1,17/08/02,Bastia,AS Monaco,1,0,H,0,0,D,2.25,3,2.875,2.3,3,2.92,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3,3,2.37,2.9,2.8,1.95,1.65,,,
F1,17/08/02,Guingamp,Stade Rennes,3,0,H,1,0,H,1.909,3,3.75,2.22,2.9,3.7,1.9,2.9,3.8,2,3,3.4,2,3,3.75,2.1,2.8,3.4,2.05,1.6,,,
F1,17/08/02,Lille,Nice,0,3,A,0,2,A,1.667,3.25,4.5,1.66,3.35,5.35,1.6,3.4,4.6,1.571,3.25,5.5,1.667,3.3,5,1.66,3.1,5,2,1.65,,,
F1,17/08/02,Montpellier,Bordeaux,0,1,A,0,1,A,2.5,2.875,2.625,2.5,3,2.7,2.9,2.7,2.4,2.5,3.2,2.5,2.5,3,2.7,2.6,2.8,2.6,2.1,1.55,,,
F1,17/08/02,Paris Saint-Germain,AC Ajaccio,2,2,D,2,0,H,1.364,3.75,8,1.35,3.85,8.75,1.35,4,7,1.364,3.75,8,1.4,3.75,8,1.36,3.6,9,1.85,1.75,,,
F1,17/08/02,Sedan,Lens,0,1,A,0,1,A,2.7,3,2.4,2.7,2.91,2.56,2.7,2.6,2.7,2.5,3.2,2.5,2.7,3,2.5,2.62,2.9,2.5,2.1,1.55,,,
F1,17/08/02,Sochaux,Nantes,4,2,H,1,1,D,2.375,3,2.75,2.54,2.91,2.9,2.5,2.9,2.6,2.375,2.875,2.8,2.375,3,2.875,2.37,2.9,2.8,2.05,1.6,,,
F1,17/08/02,Strasbourg,Le Havre AC,1,1,D,1,1,D,2,2.875,3.6,2,3.05,3.6,2,3,3.3,2.2,3,3,2.05,3,2.875,2,2.9,3.6,2.1,1.55,,,
F1,17/08/02,Troyes,AJ Auxerre,1,2,A,1,0,H,2.375,2.875,2.8,2.6,2.9,2.8,2.4,2.9,2.7,2.375,2.875,2.8,2.4,2.9,2.9,2.4,2.9,2.75,2.05,1.6,,,
F1,23/08/02,Lille,Troyes,0,0,D,0,0,D,1.8,3.1,4,1.77,3.24,4.45,1.85,2.9,4,1.833,3,4,1.833,3.1,4.2,1.8,3.1,4,1.95,1.65,,,
F1,24/08/02,AC Ajaccio,Sedan,1,0,H,1,0,H,2.1,3,3.2,2.1,3.05,3.5,2.2,2.8,3.1,1.909,3,3.75,2.1,3,3.4,2.2,2.87,3.1,2.05,1.6,,,
F1,24/08/02,AJ Auxerre,Guingamp,2,1,H,1,0,H,1.727,3.2,4.333,1.67,3.35,5.1,1.65,3.2,4.6,1.727,3.2,4.333,1.667,3.25,5,1.66,3.1,5,1.9,1.7,,,
F1,24/08/02,Bordeaux,Strasbourg,1,2,A,0,1,A,1.4,3.6,7.5,1.46,3.85,7.25,1.4,3.7,6.5,1.4,3.75,7,1.4,3.75,8,1.4,3.5,8,1.85,1.75,,,
F1,24/08/02,Lyon,Bastia,4,1,H,2,1,H,1.4,3.6,7.5,1.41,4,7.75,1.4,3.7,6.5,1.4,3.75,7,1.4,3.75,8,1.4,3.5,8,1.7,1.9,,,
F1,24/08/02,AS Monaco,Sochaux,1,0,H,1,0,H,1.8,3.1,4,1.86,3.2,4.25,1.8,2.9,4.2,1.8,3.2,4,1.8,3.1,4.333,1.9,3.1,3.6,1.9,1.7,,,
F1,24/08/02,Nantes,Lens,2,2,D,2,0,H,2.2,3,3,2.2,3.05,3.35,2.3,2.8,2.9,2.1,3,3.2,2.2,3,3.2,2,3,3.4,2.1,1.62,,,
F1,24/08/02,Nice,Montpellier,2,1,H,1,1,D,1.833,3.2,3.75,1.97,3.1,3.78,2,2.9,3.4,1.909,3,3.75,1.85,3.2,4,1.66,3.3,4.5,1.95,1.65,,,
F1,24/08/02,Stade Rennes,Marseille,1,3,A,1,1,D,2.4,3,2.7,2.37,3,2.95,2.2,2.8,3.1,2.375,3.2,2.6,2.4,3,2.8,2.5,2.9,2.62,2.05,1.6,,,
F1,25/08/02,Le Havre AC,Paris Saint-Germain,0,1,A,0,0,D,2.7,3,2.4,3.12,3,2.3,2.9,2.8,2.3,2.8,2.875,2.375,3,3,2.3,,,,2.05,1.65,,,
F1,31/08/02,Bastia,Stade Rennes,3,1,H,2,1,H,1.727,3.2,4.333,1.72,3.25,4.75,1.75,3.1,4.2,1.727,3.2,4.333,1.75,3.2,4.5,1.66,3.3,4.5,1.9,1.7,,,
F1,31/08/02,Guingamp,Bordeaux,0,0,D,0,0,D,2.5,2.875,2.625,2.55,3.1,2.65,2.6,2.8,2.6,2.375,3,2.75,2.6,3,2.6,2.62,2.9,2.5,1.97,1.65,,,
F1,31/08/02,Lens,AS Monaco,1,0,H,1,0,H,1.727,3.2,4.333,1.82,3.25,4.25,1.75,3.1,4.2,1.727,3.2,4.333,1.8,3.1,4.333,1.72,3.2,4.33,2.05,1.6,,,
F1,31/08/02,Montpellier,Le Havre AC,0,0,D,0,0,D,2,3,3.4,1.9,3.15,3.95,2,2.9,3.4,1.833,3,4,1.95,3,3.8,1.9,3,3.75,2.05,1.6,,,
F1,31/08/02,Paris Saint-Germain,Nice,1,1,D,0,0,D,1.533,3.25,6,1.5,3.45,7,1.45,3.6,5.8,1.571,3.25,5.5,1.533,3.3,6.5,1.53,3.25,6,1.85,1.75,,,
F1,31/08/02,Sedan,Nantes,1,0,H,1,0,H,2.625,3.1,2.375,2.7,3.1,2.5,2.6,2.8,2.6,2.625,2.875,2.5,2.7,3,2.5,2.5,2.9,2.62,2.05,1.6,,,
F1,31/08/02,Sochaux,Lyon,2,1,H,0,0,D,2.875,3,2.25,2.8,3.15,2.35,2.6,2.8,2.6,2.75,3,2.375,3,3,2.25,2.8,2.9,2.37,1.75,1.85,,,
F1,31/08/02,Strasbourg,Lille,2,2,D,1,0,H,2.2,3,3,2.2,3.1,3.1,2.2,2.8,3.1,2.2,3,3,2.25,3,3.1,2.1,3,3.2,2.05,1.6,,,
F1,31/08/02,Troyes,AC Ajaccio,1,0,H,1,0,H,1.727,3.2,4.333,1.8,3.25,4.25,1.9,2.9,3.8,1.909,3,3.75,1.833,3.1,4,1.83,3,4,1.97,1.65,,,
F1,01/09/02,Marseille,AJ Auxerre,0,0,D,0,0,D,2.2,3,3,2.2,3.05,3.15,2.2,2.8,3.1,2.2,3,3,2.25,3,3.1,2.1,3.1,3.1,2.05,1.6,,,
F1,10/09/02,Lyon,Lens,1,0,H,1,0,H,1.5,3.4,6,1.63,3.5,5.5,1.6,3.4,4.6,1.571,3.25,5.5,1.533,3.4,6,1.5,3.4,6,1.72,1.9,,,
F1,11/09/02,AC Ajaccio,Montpellier,0,0,D,0,0,D,2,3,3.4,2.1,3.1,3.32,2,2.9,3.4,2.1,3,3.2,2.1,3,3.4,1.9,3.1,3.6,2.15,1.6,,,
F1,11/09/02,AJ Auxerre,Bastia,1,0,H,0,0,D,1.533,3.4,5.5,1.61,3.45,6,1.45,3.8,5.4,1.5,3.4,6,1.533,3.4,6.5,1.5,3.4,6,1.9,1.75,,,
F1,11/09/02,Bordeaux,Troyes,1,0,H,1,0,H,1.571,3.25,5.5,1.65,3.3,5.75,1.6,3.4,4.6,1.615,3.25,5,1.571,3.3,6,1.57,3.3,5.5,1.92,1.77,,,
F1,11/09/02,Le Havre AC,Guingamp,1,2,A,1,1,D,2,3,3.4,2.16,3,3.3,2,2.9,3.3,2,2.875,3.6,2.05,3.1,3.3,2.1,2.9,3.3,2,1.65,,,
F1,11/09/02,Lille,Paris Saint-Germain,2,1,H,1,0,H,2.5,2.875,2.625,2.7,2.95,2.7,2.8,2.9,2.3,2.5,2.875,2.625,2.7,3,2.5,2.62,2.9,2.5,2.1,1.56,,,
F1,11/09/02,AS Monaco,Nantes,2,1,H,1,1,D,1.909,3,3.75,1.92,3.15,3.75,1.9,3,3.6,1.8,3,4.333,1.833,3.2,4,1.83,3.2,3.75,2,1.86,,,
F1,11/09/02,Nice,Marseille,2,0,H,0,0,D,2.375,2.875,2.8,2.35,3.1,3,2.2,2.9,3,2.375,2.875,2.8,2.3,3,3,2.4,2.8,2.87,2,1.6,,,
F1,11/09/02,Stade Rennes,Sochaux,2,2,D,0,1,A,2.375,3,2.7,2.4,3,2.85,2.3,2.8,2.9,2.375,2.8,2.875,2.5,3,2.7,2.4,2.87,2.8,2,1.6,,,
F1,11/09/02,Strasbourg,Sedan,1,1,D,1,1,D,1.909,3,3.75,1.9,3,4.1,2.1,2.9,3.2,1.909,3,3.75,1.909,3,4,1.9,3,3.75,2,1.72,,,
F1,14/09/02,Guingamp,Nice,0,0,D,0,0,D,2.1,3,3.2,2.15,3.1,3.55,2,2.9,3.4,2,3,3.4,2.1,3,3.4,1.9,3,3.75,1.95,1.65,,,
F1,14/09/02,Lens,Stade Rennes,1,0,H,0,0,D,1.4,3.6,7.5,1.6,3.55,6,1.5,3.5,5.4,,,,1.5,3.5,6.5,1.53,3.25,6,1.82,1.8,,,
F1,14/09/02,Marseille,Bordeaux,2,1,H,1,0,H,2.3,2.875,2.9,2.25,3,3.15,2.4,2.8,2.8,2.1,3,3.2,2.25,2.875,3.2,2.2,2.87,3.1,2.2,1.55,,,
F1,14/09/02,Montpellier,Lille,1,0,H,0,0,D,2.2,3,3,2.15,3.02,3.3,2.2,2.8,3.1,2.1,3,3.2,2.1,3,3.4,2.1,2.87,3.3,2.15,1.55,,,
F1,14/09/02,Nantes,Lyon,1,0,H,1,0,H,2.4,2.9,2.75,2.5,2.93,3,2.4,2.9,2.7,2.5,2.875,2.625,2.6,2.875,2.7,2.5,2.87,2.62,1.85,1.82,,,
F1,14/09/02,Paris Saint-Germain,Strasbourg,3,0,H,2,0,H,1.444,3.6,6.5,1.52,3.6,6.25,1.55,3.4,5,1.571,3.25,5.5,1.533,3.3,6.5,1.57,3.25,5.5,1.8,1.8,,,
F1,14/09/02,Sedan,AS Monaco,2,2,D,0,1,A,2.375,3,2.7,2.35,3,2.9,2.2,2.8,3.1,2.2,3,3,2.4,3,2.8,2.3,2.9,2.9,1.95,1.65,,,
F1,14/09/02,Sochaux,AJ Auxerre,1,1,D,1,0,H,2.3,3,2.8,2.3,3,3,2.2,2.8,3.1,2.1,3,3.2,2.375,2.875,3,2.3,2.9,2.9,1.95,1.65,,,
F1,14/09/02,Troyes,Le Havre AC,1,1,D,1,0,H,1.8,3.1,4,1.95,3.1,3.75,1.9,2.9,3.8,1.8,3.2,4,1.909,3,4,1.9,3,3.75,1.95,1.65,,,
F1,15/09/02,Bastia,AC Ajaccio,1,2,A,1,1,D,1.8,3,4.333,1.81,3.15,4.35,1.9,2.9,3.8,1.8,3.2,4,1.85,3,4.333,1.9,3,3.75,2.15,1.55,,,
F1,21/09/02,AC Ajaccio,Sochaux,0,1,A,0,1,A,2.25,2.875,3,2.28,2.9,3.15,2.3,2.8,2.9,,,,2.25,3,3,2.2,2.8,3.2,2.05,1.6,,,
F1,21/09/02,Bordeaux,Lens,1,0,H,0,0,D,1.833,3,4,1.85,3.1,4.15,1.85,3.1,3.6,,,,1.85,3,4.2,1.83,3,4,1.95,1.65,,,
F1,21/09/02,Le Havre AC,Marseille,1,3,A,0,1,A,2.4,3,2.7,2.55,2.95,2.72,2.6,2.7,2.7,,,,2.5,2.875,2.75,2.6,2.8,2.6,2.1,1.55,,,
F1,21/09/02,Lille,Guingamp,2,1,H,0,0,D,2.2,2.8,3.2,2.1,3,3.4,2.1,2.8,3.3,,,,2.1,3,3.3,2.1,2.8,3.4,1.9,1.7,,,
F1,21/09/02,Lyon,AS Monaco,1,3,A,0,1,A,1.727,2.875,5,1.7,3.2,5,1.6,3.4,4.6,,,,1.667,3.2,5,1.57,3.3,5.5,,,,,
F1,21/09/02,Nice,Troyes,1,0,H,1,0,H,1.727,3.2,4.333,1.77,3.1,5,1.8,3,4,,,,1.727,3.2,4.5,1.66,3.1,5,1.9,1.7,,,
F1,21/09/02,Stade Rennes,Nantes,1,0,H,0,0,D,2.625,2.875,2.5,2.55,2.95,2.7,2.6,2.8,2.6,,,,2.6,2.9,2.6,2.7,2.8,2.5,1.9,1.7,,,
F1,21/09/02,Strasbourg,Montpellier,3,2,H,1,0,H,2,3,3.4,2.05,2.95,3.6,2.1,2.7,3.5,,,,2,3,3.5,2,2.87,3.6,2.05,1.6,,,
F1,22/09/02,Paris Saint-Germain,Bastia,1,1,D,0,0,D,1.444,3.6,6.5,1.43,3.6,7.5,1.4,3.9,6,,,,1.4,3.75,7.5,1.44,3.4,7,1.95,1.65,,,
F1,27/09/02,Marseille,AC Ajaccio,3,1,H,2,1,H,1.5,3.4,6,1.5,3.5,6.5,1.55,3.4,5,1.5,3.4,6,1.53,3.4,6,1.5,3.4,6,2,1.65,,,
F1,28/09/02,Bastia,Bordeaux,2,1,H,1,0,H,2.5,3.1,2.5,2.5,3.11,2.8,2.7,2.9,2.4,2.5,2.88,2.62,2.5,3,2.63,2.62,2.9,2.5,1.95,1.65,,,
F1,28/09/02,Guingamp,Strasbourg,2,3,A,0,1,A,1.833,3.2,3.75,1.83,3.1,4.5,1.85,3,3.8,1.8,2.88,4.5,1.85,3.1,4,1.8,3,4.2,1.9,1.7,,,
F1,28/09/02,Lens,Lille,0,0,D,0,0,D,1.8,3.1,4,1.75,3.15,4.75,1.8,3,4,1.83,3,4,1.7,3.1,4.75,1.8,2.9,4.5,2.05,1.6,,,
F1,28/09/02,AS Monaco,Stade Rennes,2,1,H,1,1,D,1.5,3.4,6,1.51,3.5,6.75,1.55,3.4,5,1.62,3.25,5,1.5,3.6,6,1.5,3.4,6,1.85,1.75,,,
F1,28/09/02,Montpellier,Paris Saint-Germain,1,1,D,1,0,H,2.5,3.1,2.5,2.65,3.11,2.5,2.7,2.9,2.4,2.5,2.88,2.62,2.6,3,2.5,2.62,2.9,2.5,2.05,1.6,,,
F1,28/09/02,Nantes,AJ Auxerre,1,4,A,1,3,A,,,,2.3,3.1,3.1,2.3,2.9,2.8,2.25,3,2.88,2.3,2.875,3,2.2,2.9,3.1,1.95,1.65,,,
F1,28/09/02,Sedan,Le Havre AC,4,0,H,1,0,H,2,2.875,3.6,1.95,3.05,3.85,1.85,3,3.8,1.83,3,4,2,3,3.5,2.1,3.1,3.1,2.05,1.6,,,
F1,28/09/02,Sochaux,Nice,1,0,H,0,0,D,1.909,3,3.75,1.9,3.25,3.75,1.85,3,3.8,2,3,3.4,2,3.1,3.4,1.9,3.1,3.6,1.95,1.65,,,
F1,28/09/02,Troyes,Lyon,1,1,D,0,0,D,2.8,2.875,2.375,2.65,3.1,2.55,2.7,2.9,2.4,2.62,2.88,2.5,2.7,2.9,2.5,2.62,2.9,2.5,1.9,1.7,,,
F1,05/10/02,AC Ajaccio,Nantes,1,0,H,0,0,D,2.25,2.875,3,2.3,3.1,3,2.1,3,3.1,,,,2.3,3,3,2.3,2.9,2.9,2.05,1.6,,,
F1,05/10/02,Le Havre AC,Sochaux,1,0,H,0,0,D,2.5,2.875,2.625,2.53,3.05,2.9,2.6,2.8,2.6,,,,2.5,2.9,2.75,2.5,2.8,2.7,2.05,1.6,,,
F1,05/10/02,Lille,Marseille,3,0,H,1,0,H,2.3,3,2.8,2.4,3.1,2.95,2.4,2.8,2.8,,,,2.375,3.1,2.75,2.37,2.8,2.87,1.9,1.7,,,
F1,05/10/02,Montpellier,Lens,0,2,A,0,1,A,2.375,2.875,2.8,2.4,3.05,2.8,2.5,2.8,2.7,,,,2.4,2.9,2.9,2.4,2.75,2.9,1.95,1.65,,,
F1,05/10/02,Nice,Bastia,2,0,H,0,0,D,1.727,3.2,4.333,1.72,3.3,4.75,1.85,3.1,3.6,,,,1.727,3.2,4.75,1.72,3.2,4.33,1.9,1.7,,,
F1,05/10/02,Stade Rennes,Lyon,0,1,A,0,0,D,2.8,3,2.3,2.9,3.1,2.4,2.8,2.9,2.3,,,,3,2.875,2.375,2.87,2.8,2.37,1.9,1.7,,,
F1,05/10/02,Strasbourg,Troyes,2,1,H,1,1,D,1.8,3.1,4,1.9,3.05,4.05,2,2.8,3.6,,,,1.909,3,4,1.9,3,3.75,1.9,1.7,,,
F1,06/10/02,AJ Auxerre,AS Monaco,1,1,D,1,0,H,1.8,3.1,4,1.88,3.15,4.1,1.85,3.1,3.6,,,,1.85,3.1,4,1.8,3,4.2,1.8,1.8,,,
F1,06/10/02,Bordeaux,Sedan,2,2,D,1,1,D,1.5,3.4,6,1.52,3.55,6.5,1.5,3.5,5.4,,,,1.5,3.5,6.5,1.44,3.4,7,1.85,1.75,,,
F1,06/10/02,Paris Saint-Germain,Guingamp,5,0,H,4,0,H,1.667,3.1,5,1.6,3.25,5.9,1.55,3.3,5.2,,,,1.6,3.2,6,1.57,3.1,6,1.8,1.8,,,
F1,19/10/02,Bastia,Le Havre AC,3,1,H,2,0,H,1.833,3,4,1.82,3.15,4.33,1.75,3.2,4,1.8,3.2,4,1.8,3.1,4.2,1.8,3.1,4,2.05,1.65,,,
F1,19/10/02,Guingamp,Montpellier,3,1,H,1,0,H,1.909,3,3.75,1.97,3,3.75,1.9,3,3.6,1.83,3,4,1.909,3.1,3.75,1.9,3,3.75,2.05,1.65,,,
F1,19/10/02,Lens,AC Ajaccio,1,1,D,0,1,A,1.571,3.25,5.5,1.59,3.45,6,1.55,3.4,5,1.57,3.25,5.5,1.533,3.4,6,1.53,3.4,5.5,2.05,1.65,,,
F1,19/10/02,Lyon,AJ Auxerre,3,0,H,1,0,H,1.909,3,3.75,1.87,3.15,4,1.85,3,3.8,1.83,3.2,3.75,1.9,3,4,1.9,3,3.75,2.05,1.67,,,
F1,19/10/02,AS Monaco,Lille,1,1,D,0,0,D,1.8,3.1,4,1.8,3.15,4.35,1.75,3.2,4,1.8,3.2,4,1.75,3.1,4.5,1.8,3,4.2,2.05,1.65,,,
F1,19/10/02,Nantes,Nice,0,0,D,0,0,D,2.25,3,2.875,2.2,3.1,3,2.2,3,2.9,2.1,3.2,3,2.1,3,3.2,2.2,3,3,2.05,1.65,,,
F1,19/10/02,Sedan,Stade Rennes,1,3,A,0,1,A,1.727,3.1,4.5,1.75,3.25,4.5,1.7,3.1,4.4,1.73,3.2,4.33,1.75,3.1,4.5,1.72,3.1,4.5,2.05,1.65,,,
F1,19/10/02,Sochaux,Bordeaux,2,0,H,1,0,H,2.25,3,2.875,2.25,3.05,3.15,2.3,2.8,2.9,2.25,2.88,3,2.3,3,2.9,2.25,2.87,3,2.05,1.65,,,
F1,19/10/02,Troyes,Paris Saint-Germain,1,2,A,1,2,A,2.7,3,2.375,2.92,2.9,2.4,2.9,2.8,2.3,2.8,2.88,2.38,2.9,3,2.3,2.87,2.8,2.4,2.05,1.65,,,
F1,20/10/02,Marseille,Strasbourg,1,0,H,1,0,H,1.727,3.1,4.5,1.78,3.25,4.65,1.75,3.2,4,1.73,3.2,4.33,1.7,3.2,4.75,1.66,3.1,5,2.05,1.65,,,
F1,25/10/02,Bordeaux,AS Monaco,2,2,D,1,2,A,2.1,3,3.2,2.08,3.1,3.65,2,2.9,3.4,2,3,3.4,2,3,3.5,2,3,3.4,2.05,1.8,,,
F1,26/10/02,AC Ajaccio,Lyon,0,1,A,0,1,A,2.8,3,2.3,2.92,3,2.47,2.8,2.9,2.3,3,3,2.2,2.9,3,2.3,2.9,2.9,2.3,1.95,1.65,,,
F1,26/10/02,AJ Auxerre,Stade Rennes,1,0,H,0,0,D,1.444,3.6,6.5,1.55,3.65,6.42,1.5,3.5,5.4,1.57,3.25,5.5,1.5,3.4,6.5,1.53,3.25,6,1.9,1.7,,,
F1,26/10/02,Guingamp,Sedan,0,1,A,0,0,D,1.909,3,3.75,1.98,3.05,3.95,2,2.8,3.6,1.8,3.2,4,1.909,3.1,3.75,1.83,3,4,1.9,1.7,,,
F1,26/10/02,Le Havre AC,Nantes,1,1,D,0,1,A,2.25,2.875,3,2.32,3,3.12,2.1,3,3.1,2.37,3,2.75,2.3,2.9,3,2.25,2.87,3,2.05,1.6,,,
F1,26/10/02,Lille,Sochaux,1,0,H,0,0,D,2,2.875,3.6,2.05,3,3.65,2,2.8,3.6,2,3,3.4,2,3,3.6,1.9,3,3.75,1.95,1.65,,,
F1,26/10/02,Montpellier,Troyes,2,2,D,1,1,D,1.909,3,3.75,2.02,3.1,3.7,1.85,3,3.8,2,3,3.4,1.909,3.1,3.75,1.9,3,3.75,2.05,1.6,,,
F1,26/10/02,Nice,Lens,0,0,D,0,0,D,1.909,3,3.75,2.06,3,3.6,2.1,2.8,3.3,2.1,3,3.2,2,3,3.6,2.1,2.87,3.3,2.05,1.6,,,
F1,26/10/02,Paris Saint-Germain,Marseille,3,0,H,2,0,H,1.833,3,4,1.85,3,4.35,1.85,3,3.8,1.83,3.2,3.75,1.833,3.1,4,1.83,3,4,1.95,1.65,,,
F1,26/10/02,Strasbourg,Bastia,2,0,H,1,0,H,1.909,3,3.75,2.02,3,3.8,1.9,2.9,3.8,1.91,3.2,3.5,1.909,3.1,3.75,1.83,3,4,1.95,1.65,,,
F1,02/11/02,Bastia,Lille,1,0,H,1,0,H,2.2,3,3,2.15,3,3.3,2.2,2.8,3.1,2.1,3,3.2,2.2,3,3.1,2.2,2.8,3.2,1.9,1.7,,,
F1,02/11/02,Lens,AJ Auxerre,3,1,H,2,1,H,2.25,3,2.9,2.3,3,3,2.3,2.8,2.9,2.2,3,3,2.2,3,3.1,2.2,2.87,3.1,2.05,1.6,,,
F1,02/11/02,Lyon,Nice,2,2,D,0,1,A,1.667,3.1,5,1.71,3.21,5,1.65,3.2,4.6,1.67,3.25,4.5,1.667,3.2,5,1.57,3.3,5.5,1.75,1.85,,,
F1,02/11/02,Marseille,Montpellier,2,0,H,1,0,H,1.533,3.25,6,1.56,3.45,6,1.55,3.3,5.2,1.61,3.2,5.5,1.571,3.4,5.5,1.53,3.3,6,1.9,1.7,,,
F1,02/11/02,AS Monaco,Le Havre AC,1,1,D,1,0,H,1.533,3.25,6,1.56,3.45,6,1.55,3.3,5.2,1.57,3.25,5.5,1.571,3.4,5.5,1.53,3.3,6,1.9,1.7,,,
F1,02/11/02,Stade Rennes,AC Ajaccio,0,0,D,0,0,D,1.909,3,3.75,2,3.05,3.65,1.9,2.9,3.8,2,3.2,3.2,1.909,3,3.75,1.9,3,3.75,1.9,1.7,,,
F1,02/11/02,Sochaux,Strasbourg,2,0,H,1,0,H,1.833,3,4,1.86,3.1,4.2,1.8,3,4,1.8,3.2,4,1.75,3.1,4.5,1.8,3.1,4,1.85,1.75,,,
F1,02/11/02,Troyes,Guingamp,0,2,A,0,1,A,2.1,3,3.2,2.2,3,3.2,2.1,2.8,3.3,2.2,3,3,2.2,3,3.1,2.1,3,3.2,1.9,1.7,,,
