Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,02/10/93,Aston Villa,Newcastle United,0,2,A
E0,02/10/93,Leeds United,Wimbledon,4,0,H
E0,02/10/93,Liverpool,Arsenal,0,0,D
E0,02/10/93,Norwich City,Coventry,1,0,H
E0,02/10/93,Queens Park Rangers,Ipswich,3,0,H
E0,02/10/93,Sheffield Weds,Manchester United,2,3,A
E0,02/10/93,Southampton,Sheffield United,3,3,D
E0,02/10/93,Swindon,Blackburn Rovers,1,3,A
E0,02/10/93,West Ham United,Chelsea,1,0,H
E0,03/10/93,Tottenham Hotspur,Everton,3,2,H
E0,04/10/93,Manchester City,Oldham,1,1,D
E0,16/10/93,Arsenal,Manchester City,0,0,D
E0,16/10/93,Chelsea,Norwich City,1,2,A
E0,16/10/93,Coventry,Southampton,1,1,D
E0,16/10/93,Liverpool,Oldham,2,1,H
E0,16/10/93,Manchester United,Tottenham Hotspur,2,1,H
E0,16/10/93,Newcastle United,Queens Park Rangers,1,2,A
E0,16/10/93,Sheffield Weds,Wimbledon,2,2,D
E0,16/10/93,Swindon,Everton,1,1,D
E0,16/10/93,West Ham United,Aston Villa,0,0,D
E0,17/10/93,Ipswich,Leeds United,0,0,D
E0,18/10/93,Blackburn Rovers,Sheffield United,0,0,D
E0,23/10/93,Aston Villa,Chelsea,1,0,H
E0,23/10/93,Everton,Manchester United,0,1,A
E0,23/10/93,Leeds United,Blackburn Rovers,3,3,D
E0,23/10/93,Manchester City,Liverpool,1,1,D
E0,23/10/93,Norwich City,West Ham United,0,0,D
E0,23/10/93,Oldham,Arsenal,0,0,D
E0,23/10/93,Queens Park Rangers,Coventry,5,1,H
E0,23/10/93,Sheffield United,Sheffield Weds,1,1,D
E0,23/10/93,Tottenham Hotspur,Swindon,1,1,D
E0,24/10/93,Southampton,Newcastle United,2,1,H
E0,25/10/93,Wimbledon,Ipswich,0,2,A
E0,30/10/93,Arsenal,Norwich City,0,0,D
E0,30/10/93,Blackburn Rovers,Tottenham Hotspur,1,0,H
E0,30/10/93,Chelsea,Oldham,0,1,A
E0,30/10/93,Ipswich,Everton,0,2,A
E0,30/10/93,Liverpool,Southampton,4,2,H
E0,30/10/93,Manchester United,Queens Park Rangers,2,1,H
E0,30/10/93,Newcastle United,Wimbledon,4,0,H
E0,30/10/93,Sheffield Weds,Leeds United,3,3,D
E0,30/10/93,Swindon,Aston Villa,1,2,A
E0,31/10/93,Coventry,Sheffield United,0,0,D
E0,01/11/93,West Ham United,Manchester City,3,1,H
E0,06/11/93,Arsenal,Aston Villa,1,2,A
E0,06/11/93,Coventry,Everton,2,1,H
E0,06/11/93,Ipswich,Sheffield Weds,1,4,A
E0,06/11/93,Leeds United,Chelsea,4,1,H
E0,06/11/93,Liverpool,West Ham United,2,0,H
E0,06/11/93,Queens Park Rangers,Blackburn Rovers,1,0,H
E0,06/11/93,Sheffield United,Norwich City,1,2,A
E0,06/11/93,Southampton,Tottenham Hotspur,1,0,H
E0,06/11/93,Wimbledon,Swindon,3,0,H
E0,07/11/93,Manchester City,Manchester United,2,3,A
E0,08/11/93,Oldham,Newcastle United,1,3,A
E0,20/11/93,Aston Villa,Sheffield United,1,0,H
E0,20/11/93,Blackburn Rovers,Southampton,2,0,H
E0,20/11/93,Chelsea,Arsenal,0,2,A
E0,20/11/93,Everton,Queens Park Rangers,0,3,A
E0,20/11/93,Manchester United,Wimbledon,3,1,H
E0,20/11/93,Norwich City,Manchester City,1,1,D
E0,20/11/93,Sheffield Weds,Coventry,0,0,D
E0,20/11/93,Swindon,Ipswich,2,2,D
E0,20/11/93,Tottenham Hotspur,Leeds United,1,1,D
E0,20/11/93,West Ham United,Oldham,2,0,H
E0,21/11/93,Newcastle United,Liverpool,3,0,H
E0,22/11/93,Chelsea,Manchester City,0,0,D
E0,23/11/93,Blackburn Rovers,Coventry,2,1,H
E0,23/11/93,Everton,Leeds United,1,1,D
E0,24/11/93,Aston Villa,Southampton,0,2,A
E0,24/11/93,Manchester United,Ipswich,0,0,D
E0,24/11/93,Newcastle United,Sheffield United,4,0,H
E0,24/11/93,Sheffield Weds,Oldham,3,0,H
E0,24/11/93,Swindon,Queens Park Rangers,1,0,H
E0,24/11/93,Tottenham Hotspur,Wimbledon,1,1,D
E0,24/11/93,West Ham United,Arsenal,0,0,D
E0,27/11/93,Arsenal,Newcastle United,2,1,H
E0,27/11/93,Coventry,Manchester United,0,1,A
E0,27/11/93,Ipswich,Blackburn Rovers,1,0,H
E0,27/11/93,Leeds United,Swindon,3,0,H
E0,27/11/93,Manchester City,Sheffield Weds,1,3,A
E0,27/11/93,Oldham,Norwich City,2,1,H
E0,27/11/93,Queens Park Rangers,Tottenham Hotspur,1,1,D
E0,27/11/93,Sheffield United,Chelsea,1,0,H
E0,27/11/93,Wimbledon,Everton,1,1,D
E0,28/11/93,Liverpool,Aston Villa,2,1,H
E0,29/11/93,Southampton,West Ham United,0,2,A
E0,04/12/93,Coventry,Arsenal,1,0,H
E0,04/12/93,Everton,Southampton,1,0,H
E0,04/12/93,Ipswich,Oldham,0,0,D
E0,04/12/93,Leeds United,Manchester City,3,2,H
E0,04/12/93,Manchester United,Norwich City,2,2,D
E0,04/12/93,Queens Park Rangers,Aston Villa,2,2,D
E0,04/12/93,Sheffield Weds,Liverpool,3,1,H
E0,04/12/93,Swindon,Sheffield United,0,0,D
E0,04/12/93,Tottenham Hotspur,Newcastle United,1,2,A
E0,04/12/93,Wimbledon,West Ham United,1,2,A
E0,05/12/93,Blackburn Rovers,Chelsea,2,0,H
E0,06/12/93,Arsenal,Tottenham Hotspur,1,1,D
E0,07/12/93,Oldham,Swindon,2,1,H
E0,07/12/93,Sheffield United,Manchester United,0,3,A
E0,08/12/93,Aston Villa,Sheffield Weds,2,2,D
E0,08/12/93,Liverpool,Queens Park Rangers,3,2,H
E0,08/12/93,Manchester City,Everton,1,0,H
E0,08/12/93,Southampton,Ipswich,0,1,A
E0,08/12/93,West Ham United,Leeds United,0,1,A
E0,11/12/93,Aston Villa,Wimbledon,0,1,A
E0,11/12/93,Chelsea,Ipswich,1,1,D
E0,11/12/93,Liverpool,Swindon,2,2,D
E0,11/12/93,Manchester City,Tottenham Hotspur,0,2,A
E0,11/12/93,Newcastle United,Manchester United,1,1,D
E0,11/12/93,Oldham,Blackburn Rovers,1,2,A
E0,11/12/93,Sheffield United,Everton,0,0,D
E0,11/12/93,Southampton,Queens Park Rangers,0,1,A
E0,11/12/93,West Ham United,Coventry,3,2,H
E0,12/12/93,Arsenal,Sheffield Weds,1,0,H
E0,13/12/93,Norwich City,Leeds United,2,1,H
E0,18/12/93,Blackburn Rovers,Manchester City,2,0,H
E0,18/12/93,Coventry,Oldham,1,1,D
E0,18/12/93,Everton,Newcastle United,0,2,A
E0,18/12/93,Ipswich,Norwich City,2,1,H
E0,18/12/93,Leeds United,Arsenal,2,1,H
E0,18/12/93,Sheffield Weds,West Ham United,5,0,H
E0,18/12/93,Swindon,Southampton,2,1,H
E0,18/12/93,Tottenham Hotspur,Liverpool,3,3,D
E0,18/12/93,Wimbledon,Sheffield United,2,0,H
E0,19/12/93,Manchester United,Aston Villa,3,1,H
E0,22/12/93,Newcastle United,Leeds United,1,1,D
E0,26/12/93,Manchester United,Blackburn Rovers,1,1,D
E0,26/12/93,Sheffield United,Liverpool,0,0,D
E0,26/12/93,Wimbledon,Coventry,1,2,A
E0,27/12/93,Everton,Sheffield Weds,0,2,A
E0,27/12/93,Ipswich,West Ham United,1,1,D
E0,27/12/93,Queens Park Rangers,Oldham,2,0,H
E0,27/12/93,Southampton,Chelsea,3,1,H
E0,27/12/93,Swindon,Arsenal,0,4,A
E0,27/12/93,Tottenham Hotspur,Norwich City,1,3,A
E0,28/12/93,Chelsea,Newcastle United,1,0,H
E0,28/12/93,Liverpool,Wimbledon,1,1,D
E0,28/12/93,Manchester City,Southampton,1,1,D
E0,28/12/93,West Ham United,Tottenham Hotspur,1,3,A
E0,29/12/93,Arsenal,Sheffield United,3,0,H
E0,29/12/93,Blackburn Rovers,Everton,2,0,H
E0,29/12/93,Leeds United,Queens Park Rangers,1,1,D
E0,29/12/93,Norwich City,Aston Villa,1,2,A
E0,29/12/93,Oldham,Manchester United,2,5,A
E0,29/12/93,Sheffield Weds,Swindon,3,3,D
E0,01/01/94,Aston Villa,Blackburn Rovers,0,1,A
E0,01/01/94,Everton,West Ham United,0,1,A
E0,01/01/94,Ipswich,Liverpool,1,2,A
E0,01/01/94,Manchester United,Leeds United,0,0,D
E0,01/01/94,Newcastle United,Manchester City,2,0,H
E0,01/01/94,Queens Park Rangers,Sheffield Weds,1,2,A
E0,01/01/94,Sheffield United,Oldham,2,1,H
E0,01/01/94,Southampton,Norwich City,0,1,A
E0,01/01/94,Swindon,Chelsea,1,3,A
E0,01/01/94,Tottenham Hotspur,Coventry,1,2,A
E0,01/01/94,Wimbledon,Arsenal,0,3,A
E0,03/01/94,Arsenal,Queens Park Rangers,0,0,D
E0,03/01/94,Chelsea,Everton,4,2,H
E0,03/01/94,Coventry,Swindon,1,1,D
E0,03/01/94,Sheffield Weds,Tottenham Hotspur,1,0,H
E0,03/01/94,West Ham United,Sheffield United,0,0,D
E0,04/01/94,Liverpool,Manchester United,3,3,D
E0,04/01/94,Norwich City,Newcastle United,1,2,A
E0,15/01/94,Aston Villa,West Ham United,3,1,H
E0,15/01/94,Everton,Swindon,6,2,H
E0,15/01/94,Leeds United,Ipswich,0,0,D
E0,15/01/94,Manchester City,Arsenal,0,0,D
E0,15/01/94,Norwich City,Chelsea,1,1,D
E0,15/01/94,Oldham,Liverpool,0,3,A
E0,15/01/94,Sheffield United,Blackburn Rovers,1,2,A
E0,15/01/94,Southampton,Coventry,1,0,H
E0,15/01/94,Tottenham Hotspur,Manchester United,0,1,A
E0,15/01/94,Wimbledon,Sheffield Weds,2,1,H
E0,16/01/94,Queens Park Rangers,Newcastle United,1,2,A
E0,22/01/94,Arsenal,Oldham,1,1,D
E0,22/01/94,Chelsea,Aston Villa,1,1,D
E0,22/01/94,Coventry,Queens Park Rangers,0,1,A
E0,22/01/94,Ipswich,Wimbledon,0,0,D
E0,22/01/94,Liverpool,Manchester City,2,1,H
E0,22/01/94,Manchester United,Everton,1,0,H
E0,22/01/94,Newcastle United,Southampton,1,2,A
E0,22/01/94,Sheffield Weds,Sheffield United,3,1,H
E0,22/01/94,Swindon,Tottenham Hotspur,2,1,H
E0,23/01/94,Blackburn Rovers,Leeds United,2,1,H
E0,24/01/94,West Ham United,Norwich City,3,3,D
E0,02/02/94,Coventry,Ipswich,1,0,H
E0,05/02/94,Blackburn Rovers,Wimbledon,3,0,H
E0,05/02/94,Everton,Chelsea,4,2,H
E0,05/02/94,Manchester City,Ipswich,2,1,H
E0,05/02/94,Norwich City,Liverpool,2,2,D
E0,05/02/94,Oldham,Southampton,2,1,H
E0,05/02/94,Queens Park Rangers,Manchester United,2,3,A
E0,05/02/94,Swindon,Coventry,3,1,H
E0,05/02/94,Tottenham Hotspur,Sheffield Weds,1,3,A
E0,06/02/94,Aston Villa,Leeds United,1,0,H
E0,12/02/94,Aston Villa,Swindon,5,0,H
E0,12/02/94,Everton,Ipswich,0,0,D
E0,12/02/94,Manchester City,West Ham United,0,0,D
E0,12/02/94,Oldham,Chelsea,2,1,H
E0,12/02/94,Sheffield United,Coventry,0,0,D
E0,12/02/94,Tottenham Hotspur,Blackburn Rovers,0,2,A
E0,12/02/94,Wimbledon,Newcastle United,4,2,H
E0,13/02/94,Norwich City,Arsenal,1,1,D
E0,14/02/94,Southampton,Liverpool,4,2,H
E0,19/02/94,Blackburn Rovers,Newcastle United,1,0,H
E0,19/02/94,Coventry,Manchester City,4,0,H
E0,19/02/94,Everton,Arsenal,1,1,D
E0,19/02/94,Leeds United,Liverpool,2,0,H
E0,19/02/94,Swindon,Norwich City,3,3,D
E0,22/02/94,Aston Villa,Manchester City,0,0,D
E0,22/02/94,Norwich City,Blackburn Rovers,2,2,D
E0,23/02/94,Newcastle United,Coventry,4,0,H
E0,26/02/94,Arsenal,Blackburn Rovers,1,0,H
E0,26/02/94,Ipswich,Sheffield United,3,2,H
E0,26/02/94,Liverpool,Coventry,1,0,H
E0,26/02/94,Manchester City,Swindon,2,1,H
E0,26/02/94,Norwich City,Sheffield Weds,1,1,D
E0,26/02/94,Southampton,Wimbledon,1,0,H
E0,26/02/94,West Ham United,Manchester United,2,2,D
E0,27/02/94,Chelsea,Tottenham Hotspur,4,3,H
E0,28/02/94,Oldham,Leeds United,1,1,D
E0,02/03/94,Tottenham Hotspur,Aston Villa,1,1,D
E0,05/03/94,Blackburn Rovers,Liverpool,2,0,H
E0,05/03/94,Everton,Oldham,2,1,H
E0,05/03/94,Ipswich,Arsenal,1,5,A
E0,05/03/94,Leeds United,Southampton,0,0,D
E0,05/03/94,Manchester United,Chelsea,0,1,A
E0,05/03/94,Queens Park Rangers,Manchester City,1,1,D
E0,05/03/94,Sheffield Weds,Newcastle United,0,1,A
E0,05/03/94,Swindon,West Ham United,1,1,D
E0,05/03/94,Tottenham Hotspur,Sheffield United,2,2,D
E0,05/03/94,Wimbledon,Norwich City,3,1,H
E0,06/03/94,Coventry,Aston Villa,0,1,A
E0,12/03/94,Aston Villa,Ipswich,0,1,A
E0,12/03/94,Manchester City,Wimbledon,0,1,A
E0,12/03/94,Newcastle United,Swindon,7,1,H
E0,12/03/94,Norwich City,Queens Park Rangers,3,4,A
E0,12/03/94,Southampton,Sheffield Weds,1,1,D
E0,13/03/94,Liverpool,Everton,2,1,H
E0,13/03/94,Sheffield United,Leeds United,2,2,D
E0,16/03/94,Chelsea,Wimbledon,2,0,H
E0,16/03/94,Leeds United,Aston Villa,2,0,H
E0,16/03/94,Manchester United,Sheffield Weds,5,0,H
E0,16/03/94,Sheffield United,Queens Park Rangers,1,1,D
E0,19/03/94,Aston Villa,Oldham,1,2,A
E0,19/03/94,Leeds United,Coventry,1,0,H
E0,19/03/94,Liverpool,Chelsea,2,1,H
E0,19/03/94,Manchester City,Sheffield United,0,0,D
E0,19/03/94,Queens Park Rangers,Wimbledon,1,0,H
E0,19/03/94,Southampton,Arsenal,0,4,A
E0,19/03/94,Swindon,Manchester United,2,2,D
E0,19/03/94,Tottenham Hotspur,Ipswich,1,1,D
E0,19/03/94,West Ham United,Newcastle United,2,4,A
E0,20/03/94,Sheffield Weds,Blackburn Rovers,1,2,A
E0,21/03/94,Norwich City,Everton,3,0,H
E0,22/03/94,Arsenal,Manchester United,2,2,D
E0,22/03/94,Newcastle United,Ipswich,2,0,H
E0,26/03/94,Arsenal,Liverpool,1,0,H
E0,26/03/94,Blackburn Rovers,Swindon,3,1,H
E0,26/03/94,Chelsea,West Ham United,2,0,H
E0,26/03/94,Coventry,Norwich City,2,1,H
E0,26/03/94,Everton,Tottenham Hotspur,0,1,A
E0,26/03/94,Ipswich,Queens Park Rangers,1,3,A
E0,26/03/94,Oldham,Manchester City,0,0,D
E0,26/03/94,Sheffield United,Southampton,0,0,D
E0,27/03/94,Wimbledon,Leeds United,1,0,H
E0,28/03/94,Sheffield United,West Ham United,3,2,H
E0,29/03/94,Ipswich,Manchester City,2,2,D
E0,29/03/94,Newcastle United,Norwich City,3,0,H
E0,29/03/94,Wimbledon,Blackburn Rovers,4,1,H
E0,30/03/94,Aston Villa,Everton,0,0,D
E0,30/03/94,Manchester United,Liverpool,1,0,H
E0,30/03/94,Sheffield Weds,Chelsea,3,1,H
E0,30/03/94,Southampton,Oldham,1,3,A
E0,01/04/94,Leeds United,Newcastle United,1,1,D
E0,02/04/94,Arsenal,Swindon,1,1,D
E0,02/04/94,Blackburn Rovers,Manchester United,2,0,H
E0,02/04/94,Chelsea,Southampton,2,0,H
E0,02/04/94,Coventry,Wimbledon,1,2,A
E0,02/04/94,Liverpool,Sheffield United,1,2,A
E0,02/04/94,Manchester City,Aston Villa,3,0,H
E0,02/04/94,Norwich City,Tottenham Hotspur,1,2,A
E0,02/04/94,Oldham,Queens Park Rangers,4,1,H
E0,02/04/94,Sheffield Weds,Everton,5,1,H
E0,02/04/94,West Ham United,Ipswich,2,1,H
E0,04/04/94,Aston Villa,Norwich City,0,0,D
E0,04/04/94,Everton,Blackburn Rovers,0,3,A
E0,04/04/94,Ipswich,Coventry,0,2,A
E0,04/04/94,Manchester United,Oldham,3,2,H
E0,04/04/94,Newcastle United,Chelsea,0,0,D
E0,04/04/94,Queens Park Rangers,Leeds United,0,4,A
E0,04/04/94,Sheffield United,Arsenal,1,1,D
E0,04/04/94,Southampton,Manchester City,0,1,A
E0,04/04/94,Swindon,Sheffield Weds,0,1,A
E0,04/04/94,Tottenham Hotspur,West Ham United,1,4,A
E0,04/04/94,Wimbledon,Liverpool,1,1,D
E0,09/04/94,Coventry,Tottenham Hotspur,1,0,H
E0,09/04/94,Liverpool,Ipswich,1,0,H
E0,09/04/94,Manchester City,Newcastle United,2,1,H
E0,09/04/94,Norwich City,Southampton,4,5,A
E0,09/04/94,Sheffield Weds,Queens Park Rangers,3,1,H
E0,09/04/94,West Ham United,Everton,0,1,A
E0,11/04/94,Blackburn Rovers,Aston Villa,1,0,H
E0,13/04/94,Queens Park Rangers,Chelsea,1,1,D
E0,16/04/94,Arsenal,Chelsea,1,0,H
E0,16/04/94,Coventry,Sheffield Weds,1,1,D
E0,16/04/94,Ipswich,Swindon,1,1,D
E0,16/04/94,Liverpool,Newcastle United,0,2,A
E0,16/04/94,Manchester City,Norwich City,1,1,D
E0,16/04/94,Oldham,West Ham United,1,2,A
E0,16/04/94,Queens Park Rangers,Everton,2,1,H
E0,16/04/94,Sheffield United,Aston Villa,1,2,A
E0,16/04/94,Southampton,Blackburn Rovers,3,1,H
E0,16/04/94,Wimbledon,Manchester United,1,0,H
E0,17/04/94,Leeds United,Tottenham Hotspur,2,0,H
E0,19/04/94,Arsenal,Wimbledon,1,1,D
E0,23/04/94,Aston Villa,Arsenal,1,2,A
E0,23/04/94,Chelsea,Leeds United,1,1,D
E0,23/04/94,Everton,Coventry,0,0,D
E0,23/04/94,Manchester United,Manchester City,2,0,H
E0,23/04/94,Newcastle United,Oldham,3,2,H
E0,23/04/94,Norwich City,Sheffield United,0,1,A
E0,23/04/94,Sheffield Weds,Ipswich,5,0,H
E0,23/04/94,Swindon,Wimbledon,2,4,A
E0,23/04/94,Tottenham Hotspur,Southampton,3,0,H
E0,23/04/94,West Ham United,Liverpool,1,2,A
E0,24/04/94,Blackburn Rovers,Queens Park Rangers,1,1,D
E0,26/04/94,Wimbledon,Oldham,3,0,H
E0,27/04/94,Chelsea,Swindon,2,0,H
E0,27/04/94,Leeds United,Manchester United,0,2,A
E0,27/04/94,Newcastle United,Aston Villa,5,1,H
E0,27/04/94,Queens Park Rangers,Arsenal,1,1,D
E0,27/04/94,West Ham United,Blackburn Rovers,1,2,A
E0,30/04/94,Arsenal,West Ham United,0,2,A
E0,30/04/94,Leeds United,Everton,3,0,H
E0,30/04/94,Liverpool,Norwich City,0,1,A
E0,30/04/94,Manchester City,Chelsea,2,2,D
E0,30/04/94,Oldham,Sheffield Weds,0,0,D
E0,30/04/94,Queens Park Rangers,Swindon,1,3,A
E0,30/04/94,Sheffield United,Newcastle United,2,0,H
E0,30/04/94,Southampton,Aston Villa,4,1,H
E0,30/04/94,Wimbledon,Tottenham Hotspur,2,1,H
E0,01/05/94,Ipswich,Manchester United,1,2,A
E0,02/05/94,Coventry,Blackburn Rovers,2,1,H
E0,03/05/94,Leeds United,Sheffield Weds,2,2,D
E0,03/05/94,Oldham,Sheffield United,1,1,D
E0,03/05/94,Queens Park Rangers,West Ham United,0,0,D
E0,04/05/94,Chelsea,Coventry,1,2,A
E0,04/05/94,Manchester United,Southampton,2,0,H
E0,05/05/94,Oldham,Tottenham Hotspur,0,2,A
E0,07/05/94,Aston Villa,Liverpool,2,1,H
E0,07/05/94,Blackburn Rovers,Ipswich,0,0,D
E0,07/05/94,Chelsea,Sheffield United,3,2,H
E0,07/05/94,Everton,Wimbledon,3,2,H
E0,07/05/94,Newcastle United,Arsenal,2,0,H
E0,07/05/94,Norwich City,Oldham,1,1,D
E0,07/05/94,Sheffield Weds,Manchester City,1,1,D
E0,07/05/94,Swindon,Leeds United,0,5,A
E0,07/05/94,Tottenham Hotspur,Queens Park Rangers,1,2,A
E0,07/05/94,West Ham United,Southampton,3,3,D
E0,08/05/94,Manchester United,Coventry,0,0,D


























































































